@RELATION test

@ATTRIBUTE ts NUMERIC
@ATTRIBUTE ax NUMERIC
@ATTRIBUTE ay NUMERIC
@ATTRIBUTE az NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE class {0, 1, 2, 3}

@DATA
8734,-0.147418,0.654812,-0.575628,0.884228,2
8853,-1.142964,1.950187,-1.308249,2.611726,2
9061,0.993703,0.527398,-0.950237,1.472598,3
9180,0.84578,0.714272,-1.834598,2.142727,3
9321,-0.440916,1.867368,-0.52821,1.990094,3
9440,0.345659,2.360036,-0.566145,2.451483,3
9559,1.935245,2.022388,-1.550085,3.199686,3
9678,0.754208,0.253458,-1.023736,1.296575,3
9798,0.136688,-0.084188,-0.817464,0.833078,1
9917,-0.175594,0.293806,-0.293487,0.450876,1
10057,-0.292993,0.274694,-0.746336,0.847537,1
10206,0.113208,0.51678,-0.540064,0.756008,2
10325,0.038073,1.419296,-0.613563,1.546709,2
10444,-0.370477,2.283587,-0.376469,2.343876,2
10600,0.465406,0.848057,-0.509242,1.09322,2
10719,-0.997389,1.882233,-1.350926,2.522417,2
10855,-0.015931,0.410602,-0.867254,0.959676,3
10991,0.11086,0.920258,-1.540601,1.797948,3
11110,-0.48318,1.045548,-0.931269,1.481181,3
11259,-0.285949,2.164667,0.164105,2.189631,3
11378,1.425732,1.319488,-1.526376,2.470543,3
11497,0.758904,-0.481295,-1.659148,1.88689,3
11644,-0.126286,0.140909,-0.791384,0.81369,1
11780,-0.14507,0.346895,-0.563774,0.67766,1
11927,-0.123938,0.291683,-0.708401,0.776061,1
12083,0.094425,1.024312,-0.447598,1.121818,2
12202,-0.379869,1.905592,-0.381211,1.980127,2
12351,-0.08637,0.835315,-0.468936,0.961828,2
12487,-1.110092,1.752695,-1.346184,2.473147,2
12643,0.315135,0.752496,-0.691804,1.069651,3
12762,0.103816,0.777979,-1.388861,1.595294,3
12881,-0.140374,1.145356,-1.016623,1.537878,3
13017,-0.342301,1.992658,0.306361,2.044924,3
13136,0.956135,1.778178,0.15225,2.024671,3
13256,0.930307,1.332229,-1.147025,1.988963,3
13397,0.143732,0.000754,-0.675208,0.690337,1
13516,-0.112198,0.359637,-0.644386,0.746431,1
13679,-0.194378,0.344772,-0.660982,0.77042,1
13815,-0.119242,0.9691,-0.741594,1.226106,2
13951,0.150776,1.359836,-0.357502,1.414106,2
14070,-0.732066,1.969299,-0.658611,2.201778,2
14206,0.620373,1.253658,-0.407292,1.456848,2
14336,-0.863553,1.608293,-1.438651,2.32423,2
14485,0.106164,0.678171,-0.879109,1.115356,3
14605,0.15782,1.196321,-1.213411,1.711274,3
14724,-0.152114,1.621034,-0.850657,1.836984,3
14868,-0.16855,2.30907,0.640664,2.40222,3
15008,1.350597,1.42779,-1.557198,2.507501,3
15138,0.357399,-0.130907,-0.890963,0.968858,3
15274,-0.079326,0.232223,-0.561403,0.612693,1
15410,-0.15681,0.274694,-0.58037,0.660966,1
15559,-0.051151,0.29593,-0.677579,0.74115,1
15695,0.155472,0.752496,-0.246068,0.806828,2
15814,-0.278905,1.824897,-0.376469,1.884082,2
15950,-0.433872,1.446902,-0.708401,1.668413,2
16086,0.038073,1.795167,-0.774787,1.955599,2
16205,-0.823638,1.21331,-1.478957,2.082742,2
16349,0.188344,0.648441,-1.040333,1.240259,3
16468,0.047465,0.994583,-1.339071,1.6687,3
16601,-0.051151,1.383195,-0.724998,1.562519,3
16748,0.054509,2.42799,0.10246,2.430762,3
16867,1.399904,1.735707,-2.273222,3.184329,3
16998,0.481842,0.414849,-0.997656,1.183042,3
17117,0.21652,0.072955,-0.760562,0.794139,1
17247,-0.248381,0.164269,-0.542435,0.6188,1
17383,-0.091066,0.33203,-0.713143,0.791903,1
17552,-0.065238,0.786473,-0.532951,0.952278,2
17697,-0.438568,1.370454,-0.17494,1.449513,2
17832,-0.612319,1.330106,-0.222358,1.481067,2
17968,-0.635799,1.049795,-0.442856,1.304773,2
18104,-0.879989,1.595552,-0.682321,1.945695,2
18240,0.096772,0.499792,-0.30297,0.592409,2
18370,0.655593,0.276818,-0.155972,0.728531,0
18490,0.441926,-0.052335,-0.388324,0.590621,0
18639,0.404359,-0.326275,-0.362244,0.633389,0
18775,0.582805,-0.402723,-0.404921,0.815971,0
18910,0.8223,-0.273186,-0.570886,1.037651,0
19046,0.599241,-0.404847,-0.404921,0.828826,0
19191,0.284611,-0.457936,-0.563774,0.780096,0
19326,0.002853,-0.472801,-0.440485,0.646201,0
19462,-0.384564,-0.666045,-0.483162,0.908268,0
19598,-0.870597,-0.776471,-0.186794,1.181414,0
19758,-0.687455,-0.653304,0.064525,0.950559,0
19905,-0.619363,-0.570485,0.239975,0.875586,0
20061,-0.386912,-0.721258,0.3277,0.881647,0
20197,-0.234293,-0.695775,0.420166,0.845894,0
20333,-0.027671,-0.746741,0.612213,0.966018,0
20469,-0.269513,-0.848672,0.356151,0.959023,0
20613,-0.492572,-0.79983,0.363264,1.007132,0
20749,-0.581795,-0.810448,0.12617,1.005599,0
20898,-0.21551,-0.806201,0.386973,0.919865,0
21034,-0.332909,-0.810448,0.289765,0.922831,0
21170,-0.438568,-0.784965,0.322958,0.955413,0
21305,-0.42448,-0.744617,0.491295,0.987932,0
21441,-0.452656,-0.712764,0.394086,0.93179,0
21588,-0.349345,-0.712764,0.341925,0.864284,0
21724,-0.224901,-0.717011,0.460472,0.881317,0
0,-0.462048,-0.124536,-0.312454,0.571511,0
136,-0.187334,-0.334769,-0.535322,0.658585,0
